algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LogSig_results,Proxifier_0.20,0.00829,0.0029,0.00154,0.01279,0.00556,0.00541
LogSig_results,HDFS_0.50,0.00322,0.0008,0.00046,0.00338,0.00432,0.00453
LogSig_results,HDFS_0.90,0.00083,0.00048,0.00039,0.00082,0.00516,0.00645
LogSig_results,Linux_0.20,0.00436,0.00064,0.00038,0.00229,0.00519,0.00468
MoLFI_results,HPC_0.20,0.00562,0.00134,0.00058,0.00464,0.0051,0.00405
MoLFI_results,HDFS_0.60,0.00341,0.00081,0.00044,0.00261,0.00507,0.00512
MoLFI_results,HDFS_0.70,0.00508,0.00097,0.00054,0.00277,0.0052,0.00415
MoLFI_results,Zookeeper_0.10,0.00831,0.00178,0.00115,0.00895,0.00689,0.00503
MoLFI_results,Linux_0.40,0.00516,0.00088,0.00041,0.00218,0.00465,0.00375
MoLFI_results,Linux_0.80,0.00193,0.00069,0.00029,0.00107,0.00388,0.00344
MoLFI_results,HPC_0.30,0.00448,0.00121,0.00063,0.00422,0.00868,0.00629
MoLFI_results,Hadoop_0.20,0.00978,0.00077,0.00039,0.0022,0.00477,0.00466
MoLFI_results,Zookeeper_0.60,0.00448,0.00092,0.0005,0.00302,0.00453,0.00366
MoLFI_results,Zookeeper_0.30,0.00464,0.00121,0.00076,0.00547,0.00521,0.00405
MoLFI_results,Zookeeper_0.80,0.00178,0.00068,0.0004,0.00179,0.00416,0.00347
MoLFI_results,HDFS_0.30,0.00486,0.00104,0.00055,0.00458,0.00451,0.00368
MoLFI_results,Proxifier_0.30,0.00586,0.00144,0.00082,0.00507,0.00529,0.00419
MoLFI_results,Proxifier_0.40,0.00542,0.00142,0.0008,0.00439,0.00571,0.00477
MoLFI_results,HPC_0.50,0.00353,0.00099,0.00047,0.00308,0.00675,0.00415
MoLFI_results,HPC_0.60,0.00276,0.00096,0.00047,0.00277,0.00547,0.00434
MoLFI_results,Zookeeper_0.90,0.00096,0.00061,0.00028,0.00088,0.00439,0.00373
MoLFI_results,BGL_0.40,0.00406,0.00095,0.00055,0.00291,0.00566,0.00422
MoLFI_results,Zookeeper_0.40,0.00443,0.00109,0.00063,0.00472,0.00478,0.00386
MoLFI_results,HDFS_0.40,0.00436,0.00092,0.00051,0.00336,0.00453,0.00368
MoLFI_results,HDFS_0.10,0.0064,0.00109,0.00065,0.00629,0.00495,0.00373
MoLFI_results,Linux_0.70,0.00278,0.00069,0.00031,0.00158,0.00383,0.00353
MoLFI_results,Hadoop_0.90,0.001,0.00045,0.00026,0.0006,0.00368,0.00339
MoLFI_results,BGL_0.50,0.00364,0.00091,0.00044,0.00277,0.0043,0.00356
MoLFI_results,Proxifier_0.10,0.00728,0.00168,0.00091,0.0066,0.0053,0.00399
MoLFI_results,Hadoop_0.80,0.00212,0.00048,0.00028,0.00101,0.00429,0.00354
MoLFI_results,Proxifier_0.90,0.00114,0.00053,0.00028,0.00085,0.00396,0.00361
MoLFI_results,Zookeeper_0.70,0.00211,0.00084,0.00042,0.00218,0.00435,0.00359
MoLFI_results,Zookeeper_0.50,0.00357,0.00108,0.00055,0.0038,0.00584,0.00457
MoLFI_results,Proxifier_0.80,0.0021,0.00078,0.0004,0.00151,0.00481,0.00491
MoLFI_results,HPC_0.80,0.00153,0.00068,0.00036,0.00155,0.00395,0.00346
MoLFI_results,BGL_0.10,0.00537,0.00179,0.00087,0.00728,0.00592,0.00799
MoLFI_results,Hadoop_0.40,0.00456,0.00091,0.00056,0.0039,0.00436,0.00369
MoLFI_results,HPC_0.90,0.00122,0.00054,0.00028,0.00085,0.00393,0.00391
MoLFI_results,Hadoop_0.50,0.00335,0.0007,0.00043,0.00295,0.00427,0.00353
MoLFI_results,Hadoop_0.10,0.00626,0.00095,0.00067,0.00515,0.00476,0.00379
MoLFI_results,Hadoop_0.30,0.00498,0.00095,0.00056,0.00431,0.00463,0.0037
MoLFI_results,Linux_0.90,0.00135,0.00049,0.00023,0.00067,0.00365,0.00351
MoLFI_results,Hadoop_0.70,0.00237,0.00053,0.00033,0.00143,0.00407,0.00353
MoLFI_results,Proxifier_0.50,0.00437,0.00112,0.00057,0.0035,0.00618,0.00458
MoLFI_results,Linux_0.10,0.00902,0.001,0.00054,0.00385,0.00434,0.00363
MoLFI_results,BGL_0.20,0.00515,0.00148,0.00067,0.0054,0.00543,0.00401
MoLFI_results,Zookeeper_0.20,0.00576,0.00184,0.00106,0.00863,0.00531,0.00428
MoLFI_results,Proxifier_0.60,0.0049,0.00104,0.00054,0.00298,0.0049,0.00418
MoLFI_results,BGL_0.90,0.0014,0.00054,0.00026,0.00081,0.00381,0.00347
MoLFI_results,Linux_0.50,0.00432,0.02351,0.0005,0.00288,0.00554,0.00542
MoLFI_results,HPC_0.40,0.00451,0.00137,0.00068,0.00415,0.00528,0.00401
MoLFI_results,BGL_0.60,0.00362,0.00092,0.00041,0.00274,0.00473,0.00376
MoLFI_results,HPC_0.70,0.00255,0.00082,0.00041,0.0022,0.00463,0.00398
MoLFI_results,BGL_0.70,0.00264,0.00081,0.00039,0.00212,0.00484,0.00424
MoLFI_results,Linux_0.30,0.00591,0.0009,0.00047,0.00282,0.00468,0.00372
MoLFI_results,Proxifier_0.70,0.00296,0.00085,0.00042,0.00203,0.00463,0.00379
MoLFI_results,HPC_0.10,0.00583,0.00148,0.00069,0.00524,0.00836,0.00413
MoLFI_results,BGL_0.80,0.00202,0.00062,0.0003,0.00131,0.00495,0.00351
MoLFI_results,Linux_0.60,0.00327,0.00069,0.00035,0.00218,0.00419,0.00363
MoLFI_results,HDFS_0.80,0.00165,0.00059,0.00031,0.00128,0.00657,0.00519
MoLFI_results,Hadoop_0.60,0.00285,0.00067,0.00035,0.00183,0.0043,0.00467
MoLFI_results,BGL_0.30,0.00458,0.00095,0.00047,0.00301,0.00461,0.00384
MoLFI_results,HDFS_0.20,0.00569,0.00102,0.00062,0.00489,0.00492,0.00379
MoLFI_results,Proxifier_0.20,0.00694,0.00161,0.00082,0.00606,0.00546,0.00409
MoLFI_results,HDFS_0.50,0.00399,0.0008,0.00045,0.00305,0.0043,0.00372
MoLFI_results,HDFS_0.90,0.00108,0.00048,0.00025,0.00069,0.0036,0.00336
MoLFI_results,Linux_0.20,0.00635,0.00103,0.00056,0.0036,0.00751,0.00708
IPLoM_results,HPC_0.20,0.00575,0.00288,0.00133,0.01102,0.00775,0.00668
IPLoM_results,HDFS_0.60,0.00564,0.00107,0.00057,0.004,0.00687,0.00513
IPLoM_results,HDFS_0.70,0.00277,0.00082,0.00042,0.00246,0.00641,0.00548
IPLoM_results,Zookeeper_0.10,0.00498,0.00156,0.00105,0.01093,0.00656,0.00715
IPLoM_results,Linux_0.40,0.00765,0.00084,0.0004,0.00316,0.00605,0.00546
IPLoM_results,Linux_0.80,0.00173,0.00054,0.00026,0.00106,0.00478,0.00416
IPLoM_results,HPC_0.30,0.00453,0.00245,0.00113,0.00824,0.00674,0.0055
IPLoM_results,Hadoop_0.20,0.00926,0.00112,0.00069,0.00501,0.00716,0.00495
IPLoM_results,Zookeeper_0.60,0.00268,0.0009,0.00051,0.00298,0.0045,0.00378
IPLoM_results,Zookeeper_0.30,0.00466,0.00118,0.00065,0.00501,0.0055,0.00547
IPLoM_results,Zookeeper_0.80,0.00182,0.00064,0.00032,0.00133,0.00512,0.0041
IPLoM_results,HDFS_0.30,0.00433,0.00115,0.00051,0.00441,0.00455,0.00425
IPLoM_results,Proxifier_0.30,0.00474,0.00122,0.00057,0.00292,0.00482,0.00402
IPLoM_results,Proxifier_0.40,0.00455,0.00127,0.00056,0.00266,0.00496,0.00384
IPLoM_results,HPC_0.50,0.00393,0.00106,0.00047,0.00311,0.00459,0.00371
IPLoM_results,HPC_0.60,0.0033,0.00095,0.00052,0.00239,0.00556,0.004
IPLoM_results,Zookeeper_0.90,0.00108,0.00066,0.00034,0.00107,0.00472,0.00379
IPLoM_results,BGL_0.40,0.00528,0.00114,0.00052,0.00409,0.00466,0.0037
IPLoM_results,Zookeeper_0.40,0.00386,0.00114,0.00078,0.00524,0.0048,0.00448
IPLoM_results,HDFS_0.40,0.0043,0.00194,0.00117,0.00883,0.00524,0.00463
IPLoM_results,HDFS_0.10,0.00783,0.00137,0.00084,0.00623,0.005,0.00395
IPLoM_results,Linux_0.70,0.00244,0.00059,0.0003,0.00164,0.00378,0.00327
IPLoM_results,Hadoop_0.90,0.00085,0.00045,0.00024,0.00079,0.00367,0.00339
IPLoM_results,BGL_0.50,0.00395,0.00108,0.00048,0.00317,0.00468,0.00354
IPLoM_results,Proxifier_0.10,0.00518,0.00264,0.0014,0.01029,0.00817,0.00472
IPLoM_results,Hadoop_0.80,0.00228,0.00088,0.00053,0.00246,0.00567,0.00494
IPLoM_results,Proxifier_0.90,0.00151,0.00091,0.00043,0.00104,0.00654,0.00499
IPLoM_results,Zookeeper_0.70,0.00344,0.00098,0.00051,0.00312,0.00494,0.00433
IPLoM_results,Zookeeper_0.50,0.00407,0.00223,0.00131,0.00908,0.00538,0.00612
IPLoM_results,Proxifier_0.80,0.00403,0.0011,0.00062,0.00152,0.00511,0.00447
IPLoM_results,HPC_0.80,0.00281,0.00085,0.00047,0.00196,0.00475,0.00605
IPLoM_results,BGL_0.10,0.01416,0.00176,0.00061,0.00525,0.00527,0.0042
IPLoM_results,Hadoop_0.40,0.00417,0.00091,0.00057,0.00396,0.00508,0.00469
IPLoM_results,HPC_0.90,0.00148,0.00052,0.00027,0.0009,0.00382,0.00346
IPLoM_results,Hadoop_0.50,0.00449,0.0008,0.00049,0.00323,0.0044,0.00385
IPLoM_results,Hadoop_0.10,0.00555,0.00159,0.00177,0.01445,0.00575,0.00489
IPLoM_results,Hadoop_0.30,0.0097,0.00216,0.00127,0.00897,0.00604,0.00491
IPLoM_results,Linux_0.90,0.0022,0.0009,0.00041,0.00113,0.00657,0.00556
IPLoM_results,Hadoop_0.70,0.0031,0.00088,0.00051,0.00294,0.00432,0.00483
IPLoM_results,Proxifier_0.50,0.0049,0.001,0.00045,0.00192,0.00442,0.00388
IPLoM_results,Linux_0.10,0.00579,0.00097,0.00055,0.00386,0.00457,0.0037
IPLoM_results,BGL_0.20,0.00548,0.00197,0.00093,0.00557,0.00502,0.0043
IPLoM_results,Zookeeper_0.20,0.00438,0.00135,0.00084,0.00617,0.00506,0.0041
IPLoM_results,Proxifier_0.60,0.00296,0.00084,0.0004,0.00153,0.00605,0.00514
IPLoM_results,BGL_0.90,0.00146,0.00058,0.00028,0.00094,0.00483,0.00426
IPLoM_results,Linux_0.50,0.00329,0.00073,0.00037,0.00269,0.00562,0.00398
IPLoM_results,HPC_0.40,0.00416,0.00106,0.0005,0.00334,0.0047,0.00391
IPLoM_results,BGL_0.60,0.00422,0.00115,0.00051,0.00252,0.00486,0.00401
IPLoM_results,HPC_0.70,0.00271,0.0008,0.0004,0.00192,0.00467,0.00401
IPLoM_results,BGL_0.70,0.00318,0.00099,0.00045,0.00201,0.00488,0.00397
IPLoM_results,Linux_0.30,0.00472,0.00084,0.00047,0.0028,0.0043,0.00367
IPLoM_results,Proxifier_0.70,0.00227,0.00071,0.00034,0.00116,0.00396,0.00339
