algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LogSig_results,Proxifier_0.20,0.00569,0.00148,0.00075,0.00629,0.00525,0.00522
LogSig_results,HDFS_0.50,0.00764,0.00156,0.00073,0.00566,0.00794,0.00562
LogSig_results,HDFS_0.90,0.00224,0.00101,0.00056,0.00186,0.00692,0.0058
LogSig_results,Linux_0.20,0.01105,0.00101,0.00053,0.00616,0.00544,0.0059
MoLFI_results,HPC_0.20,0.0143,0.00173,0.00073,0.00493,0.00863,0.008
MoLFI_results,HDFS_0.60,0.00436,0.00139,0.00076,0.00542,0.00681,0.00492
MoLFI_results,HDFS_0.70,0.00542,0.00153,0.00083,0.00345,0.00498,0.00427
MoLFI_results,Zookeeper_0.10,0.00953,0.00295,0.00178,0.01473,0.00682,0.00722
MoLFI_results,Linux_0.40,0.01135,0.00116,0.00057,0.00485,0.00501,0.00424
MoLFI_results,Linux_0.80,0.0036,0.00064,0.00034,0.00129,0.00368,0.00321
MoLFI_results,HPC_0.30,0.00556,0.00133,0.00057,0.00449,0.00585,0.00662
MoLFI_results,Hadoop_0.20,0.00779,0.00106,0.00054,0.00534,0.00488,0.00521
MoLFI_results,Zookeeper_0.60,0.00599,0.0011,0.00056,0.0036,0.00615,0.00462
MoLFI_results,Zookeeper_0.30,0.00886,0.0026,0.0014,0.01157,0.00874,0.00592
MoLFI_results,Zookeeper_0.80,0.00464,0.00144,0.00076,0.00391,0.00756,0.00638
MoLFI_results,HDFS_0.30,0.01372,0.00166,0.0008,0.00732,0.00793,0.00677
MoLFI_results,Proxifier_0.30,0.00724,0.0016,0.00083,0.00621,0.00577,0.00624
MoLFI_results,Proxifier_0.40,0.01535,0.00214,0.00109,0.00768,0.00723,0.00626
MoLFI_results,HPC_0.50,0.00671,0.00117,0.00049,0.00297,0.00837,0.00642
MoLFI_results,HPC_0.60,0.00386,0.00206,0.00096,0.00519,0.0065,0.00743
MoLFI_results,Zookeeper_0.90,0.00364,0.00115,0.00056,0.0019,0.00615,0.00458
MoLFI_results,BGL_0.40,0.01047,0.0021,0.00101,0.00824,0.00674,0.00619
MoLFI_results,Zookeeper_0.40,0.00998,0.0015,0.00084,0.00653,0.00588,0.00552
MoLFI_results,HDFS_0.40,0.00557,0.001,0.00056,0.00418,0.00524,0.00582
MoLFI_results,HDFS_0.10,0.00786,0.00208,0.00116,0.01161,0.00515,0.00627
MoLFI_results,Linux_0.70,0.00636,0.00098,0.00046,0.00282,0.0057,0.00625
MoLFI_results,Hadoop_0.90,0.00329,0.00073,0.0004,0.00128,0.00589,0.00586
MoLFI_results,BGL_0.50,0.0078,0.00126,0.00056,0.00419,0.00487,0.00404
MoLFI_results,Proxifier_0.10,0.01179,0.00176,0.00084,0.00744,0.00585,0.00437
MoLFI_results,Hadoop_0.80,0.00293,0.00055,0.00031,0.00131,0.00636,0.00461
MoLFI_results,Proxifier_0.90,0.00316,0.0006,0.00029,0.00089,0.00494,0.00413
MoLFI_results,Zookeeper_0.70,0.00674,0.00121,0.00069,0.00336,0.00458,0.00389
MoLFI_results,Zookeeper_0.50,0.00498,0.00233,0.00108,0.00784,0.00565,0.00575
MoLFI_results,Proxifier_0.80,0.00507,0.00102,0.0005,0.00234,0.0046,0.00392
MoLFI_results,HPC_0.80,0.00452,0.00087,0.00046,0.00183,0.00537,0.00686
MoLFI_results,BGL_0.10,0.00873,0.00151,0.00066,0.00559,0.00559,0.00507
MoLFI_results,Hadoop_0.40,0.00546,0.00127,0.00059,0.00522,0.00615,0.00523
MoLFI_results,HPC_0.90,0.00275,0.00122,0.00062,0.00211,0.00752,0.00664
MoLFI_results,Hadoop_0.50,0.00939,0.00072,0.00045,0.00293,0.00573,0.00407
MoLFI_results,Hadoop_0.10,0.0076,0.00152,0.0009,0.00826,0.00516,0.00527
MoLFI_results,Hadoop_0.30,0.01453,0.00153,0.00083,0.00691,0.00644,0.00457
MoLFI_results,Linux_0.90,0.00266,0.00057,0.00025,0.00072,0.00451,0.00353
MoLFI_results,Hadoop_0.70,0.00316,0.00065,0.00034,0.00178,0.00704,0.0067
MoLFI_results,Proxifier_0.50,0.0055,0.0013,0.00062,0.00436,0.00511,0.00599
MoLFI_results,Linux_0.10,0.01088,0.00113,0.00056,0.00497,0.0063,0.00401
MoLFI_results,BGL_0.20,0.00809,0.00287,0.00147,0.01261,0.00567,0.00737
MoLFI_results,Zookeeper_0.20,0.01504,0.00217,0.00113,0.01,0.00722,0.00437
MoLFI_results,Proxifier_0.60,0.0074,0.00152,0.0007,0.00451,0.00829,0.00572
MoLFI_results,BGL_0.90,0.0039,0.00073,0.00037,0.00114,0.00411,0.00502
MoLFI_results,Linux_0.50,0.00739,0.00102,0.0005,0.00613,0.0067,0.00627
MoLFI_results,HPC_0.40,0.01104,0.00152,0.00068,0.00458,0.00529,0.0039
MoLFI_results,BGL_0.60,0.00415,0.00113,0.00043,0.00272,0.00783,0.00711
MoLFI_results,HPC_0.70,0.00622,0.00092,0.00041,0.00203,0.00469,0.00443
MoLFI_results,BGL_0.70,0.0043,0.00162,0.00073,0.0043,0.00771,0.00637
MoLFI_results,Linux_0.30,0.01263,0.00196,0.00094,0.00853,0.00772,0.00703
MoLFI_results,Proxifier_0.70,0.00749,0.00141,0.00078,0.00429,0.00688,0.00578
MoLFI_results,HPC_0.10,0.01097,0.00199,0.00083,0.00596,0.00949,0.00578
MoLFI_results,BGL_0.80,0.0028,0.00143,0.00067,0.00335,0.0061,0.00431
MoLFI_results,Linux_0.60,0.0085,0.00163,0.00073,0.00537,0.00742,0.00478
MoLFI_results,HDFS_0.80,0.00486,0.00094,0.00046,0.00217,0.00651,0.00696
MoLFI_results,Hadoop_0.60,0.00596,0.00085,0.00049,0.00325,0.00578,0.00518
MoLFI_results,BGL_0.30,0.00799,0.00147,0.0007,0.00543,0.00513,0.00397
MoLFI_results,HDFS_0.20,0.00772,0.00208,0.00119,0.01062,0.00532,0.00674
MoLFI_results,Proxifier_0.20,0.01469,0.00172,0.0008,0.00675,0.00966,0.00786
MoLFI_results,HDFS_0.50,0.00516,0.00153,0.00094,0.00691,0.00748,0.00688
MoLFI_results,HDFS_0.90,0.00342,0.00084,0.00044,0.00148,0.00476,0.00382
MoLFI_results,Linux_0.20,0.00764,0.00103,0.00054,0.00443,0.00844,0.00505
IPLoM_results,HPC_0.20,0.00655,0.0014,0.00055,0.00438,0.00626,0.0073
IPLoM_results,HDFS_0.60,0.00355,0.00134,0.0009,0.00358,0.00473,0.00396
IPLoM_results,HDFS_0.70,0.00324,0.00131,0.0008,0.00487,0.00497,0.00677
IPLoM_results,Zookeeper_0.10,0.01181,0.00261,0.00149,0.01229,0.00999,0.00842
IPLoM_results,Linux_0.40,0.01184,0.00128,0.00063,0.00532,0.006,0.00493
IPLoM_results,Linux_0.80,0.00297,0.00073,0.00027,0.00121,0.00692,0.00596
IPLoM_results,HPC_0.30,0.01049,0.0018,0.00078,0.00608,0.00783,0.00776
IPLoM_results,Hadoop_0.20,0.01504,0.00232,0.00144,0.01162,0.00797,0.00647
IPLoM_results,Zookeeper_0.60,0.00839,0.00151,0.00084,0.00549,0.00608,0.00639
IPLoM_results,Zookeeper_0.30,0.01016,0.00152,0.00092,0.00528,0.00725,0.00669
IPLoM_results,Zookeeper_0.80,0.00273,0.00122,0.00065,0.00345,0.00674,0.00595
IPLoM_results,HDFS_0.30,0.01115,0.00133,0.00075,0.0066,0.00597,0.00428
IPLoM_results,Proxifier_0.30,0.00789,0.00171,0.00077,0.0062,0.00609,0.00629
IPLoM_results,Proxifier_0.40,0.00668,0.00168,0.00075,0.00568,0.00511,0.00473
IPLoM_results,HPC_0.50,0.00619,0.00111,0.00051,0.00317,0.00467,0.00379
IPLoM_results,HPC_0.60,0.00422,0.00097,0.00045,0.00261,0.0044,0.00528
IPLoM_results,Zookeeper_0.90,0.0033,0.00112,0.0006,0.00208,0.00711,0.00646
IPLoM_results,BGL_0.40,0.0115,0.00232,0.00093,0.008,0.00853,0.0057
IPLoM_results,Zookeeper_0.40,0.00937,0.00219,0.00122,0.00996,0.00699,0.00657
IPLoM_results,HDFS_0.40,0.00729,0.00088,0.0005,0.00386,0.00498,0.00553
IPLoM_results,HDFS_0.10,0.01001,0.00136,0.00071,0.00636,0.00534,0.00378
IPLoM_results,Linux_0.70,0.00307,0.00067,0.00031,0.00179,0.00645,0.00642
