algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
LogSig_results,HPC_0.80,34047,11268,0.33095,6554,0.1925,3706,0.10885,3013,0.0885,3002,0.08817,3795,0.11146,823,0.02417,577,0.01695,519,0.01524,674,0.0198,672,0.01974
LogSig_results,BGL_0.10,133103,31186,0.2343,28872,0.21691,17448,0.13109,15965,0.11994,13978,0.10502,17537,0.13176,10351,0.07777,6408,0.04814,6571,0.04937,5907,0.04438,6503,0.04886
LogSig_results,HPC_0.90,20047,14150,0.70584,3890,0.19404,2205,0.10999,1933,0.09642,1944,0.09697,2294,0.11443,880,0.0439,633,0.03158,622,0.03103,722,0.03602,728,0.03631
LogSig_results,Proxifier_0.50,103718,19818,0.19108,15312,0.14763,9030,0.08706,5982,0.05768,7621,0.07348,9119,0.08792,8059,0.0777,4608,0.04443,3889,0.0375,4288,0.04134,4703,0.04534
LogSig_results,BGL_0.20,121603,59003,0.48521,26059,0.2143,16038,0.13189,14539,0.11956,12750,0.10485,16127,0.13262,11794,0.09699,7800,0.06414,7893,0.06491,7025,0.05777,7895,0.06492
LogSig_results,Zookeeper_0.20,190702,7222,0.03787,23524,0.12335,14227,0.0746,9716,0.05095,11587,0.06076,14316,0.07507,3673,0.01926,1470,0.00771,1328,0.00696,1540,0.00808,1565,0.00821
LogSig_results,Proxifier_0.60,82681,11196,0.13541,11826,0.14303,6967,0.08426,4655,0.0563,6033,0.07297,7056,0.08534,5853,0.07079,3321,0.04017,2894,0.035,3169,0.03833,3416,0.04132
LogSig_results,BGL_0.90,31473,23302,0.74038,5058,0.16071,3216,0.10218,3353,0.10654,2985,0.09484,3305,0.10501,3784,0.12023,2469,0.07845,2587,0.0822,2365,0.07514,2564,0.08147
LogSig_results,HPC_0.40,72718,28427,0.39092,19173,0.26366,10550,0.14508,8917,0.12262,8060,0.11084,10639,0.1463,2806,0.03859,1408,0.01936,1125,0.01547,1438,0.01978,1503,0.02067
LogSig_results,BGL_0.60,82895,60881,0.73444,16600,0.20025,10192,0.12295,10053,0.12127,8666,0.10454,10281,0.12402,11607,0.14002,7893,0.09522,8111,0.09785,6997,0.08441,7988,0.09636
LogSig_results,HPC_0.70,46705,30535,0.65378,9603,0.20561,5547,0.11877,4505,0.09646,4302,0.09211,5636,0.12067,1294,0.02771,931,0.01993,854,0.01828,956,0.02047,1026,0.02197
LogSig_results,BGL_0.70,64407,39510,0.61344,12270,0.19051,7728,0.11999,7715,0.11979,6693,0.10392,7817,0.12137,8424,0.13079,5553,0.08622,5792,0.08993,5143,0.07985,5648,0.08769
LogSig_results,Proxifier_0.70,61690,7898,0.12803,8580,0.13908,5093,0.08256,3532,0.05725,4463,0.07235,5182,0.084,4145,0.06719,2352,0.03813,2134,0.03459,2302,0.03732,2447,0.03967
LogSig_results,HPC_0.10,108977,23812,0.2185,29340,0.26923,15801,0.14499,14278,0.13102,12361,0.11343,15890,0.14581,4667,0.04283,2141,0.01965,1795,0.01647,2134,0.01958,2236,0.02052
LogSig_results,BGL_0.80,45267,34428,0.76055,8403,0.18563,5308,0.11726,5390,0.11907,4663,0.10301,5397,0.11923,6223,0.13747,4055,0.08958,4285,0.09466,3792,0.08377,4150,0.09168
LogSig_results,HDFS_0.80,50849,10558,0.20763,15824,0.3112,9976,0.19619,7944,0.15623,8506,0.16728,10065,0.19794,2162,0.04252,1185,0.0233,1068,0.021,1253,0.02464,1280,0.02517
LogSig_results,BGL_0.30,111300,62851,0.5647,23539,0.21149,14442,0.12976,13424,0.12061,11777,0.10581,14531,0.13056,12211,0.10971,8323,0.07478,8472,0.07612,7465,0.06707,8418,0.07563
LogSig_results,HDFS_0.20,208156,55168,0.26503,68472,0.32895,39087,0.18778,30662,0.1473,33341,0.16017,39176,0.18821,6043,0.02903,3529,0.01695,2495,0.01199,3359,0.01614,3624,0.01741
LogSig_results,Proxifier_0.20,166865,21457,0.12859,25482,0.15271,14842,0.08895,9871,0.05916,12946,0.07758,14931,0.08948,12245,0.07338,7145,0.04282,6131,0.03674,6518,0.03906,7240,0.04339
LogSig_results,HDFS_0.50,131613,27768,0.21098,44698,0.33962,26037,0.19783,20183,0.15335,21938,0.16669,26126,0.19851,4867,0.03698,2397,0.01821,1832,0.01392,2369,0.018,2492,0.01893
