algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
Drain_results,Linux_0.80,24355,8261,0.33919,5799,0.2381,3856,0.15832,3940,0.16177,3386,0.13903,3945,0.16198,2844,0.11677,2011,0.08257,2157,0.08856,2093,0.08594,2106,0.08647
Drain_results,Hadoop_0.20,150278,39398,0.26217,16240,0.10807,10296,0.06851,8602,0.05724,8135,0.05413,10385,0.06911,5475,0.03643,3424,0.02278,2939,0.01956,2580,0.01717,3519,0.02342
Drain_results,Linux_0.70,40828,15055,0.36874,7696,0.1885,4959,0.12146,4913,0.12033,4000,0.09797,5048,0.12364,3101,0.07595,2207,0.05406,2470,0.0605,2264,0.05545,2302,0.05638
Drain_results,Hadoop_0.90,19215,3747,0.195,1923,0.10008,1303,0.06781,1224,0.0637,1141,0.05938,1392,0.07244,372,0.01936,245,0.01275,230,0.01197,279,0.01452,340,0.01769
Drain_results,Hadoop_0.80,38510,7559,0.19629,3356,0.08715,2226,0.0578,1726,0.04482,1646,0.04274,2315,0.06011,668,0.01735,404,0.01049,330,0.00857,355,0.00922,499,0.01296
Drain_results,Hadoop_0.40,116659,14349,0.123,11526,0.0988,7442,0.06379,5752,0.04931,5831,0.04998,7531,0.06456,3085,0.02644,1909,0.01636,1752,0.01502,1467,0.01258,2004,0.01718
Drain_results,Hadoop_0.50,97645,20386,0.20878,9023,0.09241,5725,0.05863,4134,0.04234,3604,0.03691,5814,0.05954,2300,0.02355,1433,0.01468,1240,0.0127,1044,0.01069,1528,0.01565
Drain_results,Hadoop_0.10,165414,37318,0.2256,17837,0.10783,11352,0.06863,9346,0.0565,8687,0.05252,11441,0.06917,5896,0.03564,3596,0.02174,3081,0.01863,2874,0.01737,3691,0.02231
Drain_results,Hadoop_0.30,134160,25213,0.18793,14404,0.10736,9273,0.06912,7692,0.05733,7480,0.05575,9362,0.06978,4482,0.03341,2839,0.02116,2529,0.01885,2243,0.01672,2934,0.02187
Drain_results,Linux_0.90,11268,5004,0.44409,4083,0.36235,2829,0.25106,3034,0.26926,2725,0.24184,2918,0.25896,2682,0.23802,1891,0.16782,2010,0.17838,1990,0.17661,1986,0.17625
