algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
IPLoM_results,Linux_0.70,144859,15496,0.10697,3138,0.02166,2237,0.01544,2506,0.0173,2299,0.01587,2332,0.0161
IPLoM_results,Hadoop_0.90,181867,3718,0.02044,371,0.00204,244,0.00134,232,0.00128,284,0.00156,339,0.00186
IPLoM_results,Hadoop_0.80,181867,7502,0.04125,667,0.00367,399,0.00219,323,0.00178,367,0.00202,494,0.00272
IPLoM_results,Hadoop_0.40,181867,30898,0.16989,3374,0.01855,2284,0.01256,1957,0.01076,1768,0.00972,2379,0.01308
IPLoM_results,Hadoop_0.50,181867,20598,0.11326,2319,0.01275,1454,0.00799,1276,0.00702,1075,0.00591,1549,0.00852
IPLoM_results,Hadoop_0.10,181867,44388,0.24407,6181,0.03399,3749,0.02061,3261,0.01793,2912,0.01601,3844,0.02114
IPLoM_results,Hadoop_0.30,181867,32442,0.17838,4797,0.02638,2934,0.01613,2696,0.01482,2305,0.01267,3029,0.01666
IPLoM_results,Linux_0.90,144859,5109,0.03527,2716,0.01875,1915,0.01322,2034,0.01404,2015,0.01391,2010,0.01388
IPLoM_results,Hadoop_0.70,181867,11221,0.0617,955,0.00525,555,0.00305,423,0.00233,400,0.0022,650,0.00357
IPLoM_results,Linux_0.10,144859,34219,0.23622,3601,0.02486,2528,0.01745,2934,0.02025,2521,0.0174,2623,0.01811
IPLoM_results,Linux_0.50,144859,25911,0.17887,3552,0.02452,2552,0.01762,2903,0.02004,2564,0.0177,2647,0.01827
IPLoM_results,Linux_0.30,144859,25732,0.17763,2357,0.01627,1658,0.01145,1960,0.01353,1701,0.01174,1753,0.0121
IPLoM_results,Linux_0.60,144859,20617,0.14232,3405,0.02351,2433,0.0168,2748,0.01897,2471,0.01706,2528,0.01745
IPLoM_results,Hadoop_0.60,181867,14973,0.08233,1302,0.00716,699,0.00384,499,0.00274,436,0.0024,794,0.00437
IPLoM_results,Linux_0.20,144859,30126,0.20797,3320,0.02292,2343,0.01617,2718,0.01876,2362,0.01631,2438,0.01683
