algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LogSig_results,Proxifier_0.20,8e-05,0.00035,0.00019,0.00016,0.00333,0.0033
LogSig_results,HDFS_0.50,4e-05,0.00038,0.00018,0.00018,0.00337,0.00308
LogSig_results,HDFS_0.90,5e-05,0.00043,0.00023,0.00019,0.00368,0.00335
LogSig_results,Linux_0.20,6e-05,0.00041,0.00026,0.00021,0.00363,0.00649
MoLFI_results,HPC_0.20,0.00022,0.00032,0.0002,0.00015,0.00395,0.00341
MoLFI_results,HDFS_0.60,5e-05,0.00042,0.00019,0.00017,0.00323,0.00328
MoLFI_results,HDFS_0.70,5e-05,0.00033,0.00018,0.00015,0.00321,0.00302
MoLFI_results,Zookeeper_0.10,8e-05,0.00033,0.00021,0.00016,0.00336,0.00308
MoLFI_results,Linux_0.40,6e-05,0.00046,0.00022,0.0002,0.00644,0.00535
MoLFI_results,Linux_0.80,7e-05,0.00054,0.00022,0.00018,0.00357,0.00387
MoLFI_results,HPC_0.30,0.00019,0.00042,0.00021,0.00017,0.00406,0.00526
MoLFI_results,Hadoop_0.20,0.00012,0.00045,0.00022,0.00017,0.00476,0.00461
MoLFI_results,Zookeeper_0.60,8e-05,0.00046,0.00019,0.00016,0.00343,0.00337
MoLFI_results,Zookeeper_0.30,8e-05,0.00035,0.00021,0.00016,0.00342,0.00345
MoLFI_results,Zookeeper_0.80,9e-05,0.00032,0.00018,0.00016,0.00333,0.00323
MoLFI_results,HDFS_0.30,4e-05,0.00049,0.00023,0.00019,0.00418,0.00354
MoLFI_results,Proxifier_0.30,0.00015,0.00037,0.00028,0.00018,0.0033,0.0034
MoLFI_results,Proxifier_0.40,0.0002,0.00037,0.00021,0.00019,0.0037,0.00339
MoLFI_results,HPC_0.50,0.00015,0.00031,0.00019,0.00016,0.00329,0.00346
MoLFI_results,HPC_0.60,0.00017,0.00031,0.00019,0.00017,0.00339,0.00326
MoLFI_results,Zookeeper_0.90,9e-05,0.00035,0.0002,0.00021,0.00322,0.00305
MoLFI_results,BGL_0.40,9e-05,0.00031,0.00019,0.00017,0.00335,0.00303
MoLFI_results,Zookeeper_0.40,7e-05,0.00034,0.00021,0.00018,0.00338,0.00318
MoLFI_results,HDFS_0.40,5e-05,0.0007,0.00041,0.00031,0.00657,0.006
MoLFI_results,HDFS_0.10,9e-05,0.00064,0.00039,0.00029,0.00586,0.0058
MoLFI_results,Linux_0.70,0.00013,0.00032,0.00018,0.00017,0.00434,0.00377
MoLFI_results,Hadoop_0.90,0.00016,0.00036,0.00019,0.00017,0.00363,0.00354
MoLFI_results,BGL_0.50,8e-05,0.00035,0.00018,0.00015,0.0033,0.0035
MoLFI_results,Proxifier_0.10,0.00011,0.00036,0.00019,0.00016,0.00357,0.00332
MoLFI_results,Hadoop_0.80,0.00017,0.00036,0.00022,0.00017,0.00351,0.00339
MoLFI_results,Proxifier_0.90,0.00034,0.00034,0.00019,0.00016,0.00355,0.00362
MoLFI_results,Zookeeper_0.70,9e-05,0.00043,0.0002,0.00016,0.00354,0.00324
MoLFI_results,Zookeeper_0.50,0.0001,0.00075,0.0004,0.00035,0.00595,0.00605
MoLFI_results,Proxifier_0.80,0.00063,0.00063,0.00038,0.00027,0.00416,0.00381
MoLFI_results,HPC_0.80,0.00029,0.00059,0.00029,0.00025,0.00353,0.00365
MoLFI_results,BGL_0.10,0.00019,0.00052,0.00027,0.00022,0.0038,0.00358
MoLFI_results,Hadoop_0.40,0.00022,0.00049,0.00025,0.00021,0.00413,0.00359
MoLFI_results,HPC_0.90,0.00023,0.00048,0.00029,0.0002,0.00423,0.00358
MoLFI_results,Hadoop_0.50,0.0002,0.00034,0.00021,0.00016,0.00361,0.00342
MoLFI_results,Hadoop_0.10,0.00014,0.00036,0.00022,0.00016,0.00355,0.0035
MoLFI_results,Hadoop_0.30,0.00015,0.00045,0.00018,0.00015,0.00329,0.00328
MoLFI_results,Linux_0.90,7e-05,0.00034,0.00019,0.00019,0.00323,0.00321
MoLFI_results,Hadoop_0.70,0.00015,0.00036,0.00022,0.00016,0.00332,0.00325
MoLFI_results,Proxifier_0.50,0.00021,0.00037,0.00019,0.00019,0.00371,0.0034
MoLFI_results,Linux_0.10,6e-05,0.00034,0.00018,0.00018,0.00324,0.00325
MoLFI_results,BGL_0.20,0.00013,0.0004,0.0002,0.00016,0.00341,0.00322
MoLFI_results,Zookeeper_0.20,7e-05,0.0007,0.00038,0.00033,0.00376,0.00378
MoLFI_results,Proxifier_0.60,0.0006,0.0004,0.0002,0.00016,0.0035,0.00345
MoLFI_results,BGL_0.90,0.00011,0.00031,0.00017,0.00015,0.00339,0.00323
MoLFI_results,Linux_0.50,6e-05,0.00033,0.00018,0.00015,0.0034,0.00312
MoLFI_results,HPC_0.40,0.00015,0.00031,0.00017,0.00015,0.00327,0.00347
MoLFI_results,BGL_0.60,8e-05,0.00047,0.00019,0.00016,0.00372,0.00606
MoLFI_results,HPC_0.70,0.00015,0.00031,0.00018,0.00015,0.00325,0.00313
MoLFI_results,BGL_0.70,0.00018,0.00036,0.0002,0.00017,0.00328,0.00328
MoLFI_results,Linux_0.30,5e-05,0.00032,0.00018,0.00015,0.00316,0.00307
MoLFI_results,Proxifier_0.70,0.00031,0.00034,0.00018,0.00015,0.00348,0.00338
MoLFI_results,HPC_0.10,7e-05,0.00039,0.00019,0.00017,0.00331,0.00334
MoLFI_results,BGL_0.80,0.00011,0.00034,0.00018,0.00016,0.0039,0.00348
MoLFI_results,Linux_0.60,6e-05,0.00033,0.00018,0.00015,0.00323,0.00341
MoLFI_results,HDFS_0.80,5e-05,0.00033,0.00017,0.00017,0.00316,0.00316
MoLFI_results,Hadoop_0.60,0.00015,0.00035,0.00019,0.00016,0.00339,0.0034
MoLFI_results,BGL_0.30,9e-05,0.00033,0.00019,0.00024,0.00328,0.00325
MoLFI_results,HDFS_0.20,5e-05,0.00034,0.00018,0.00015,0.00336,0.00319
MoLFI_results,Proxifier_0.20,0.00014,0.00052,0.00022,0.00015,0.00348,0.00346
MoLFI_results,HDFS_0.50,5e-05,0.00033,0.00019,0.00016,0.00349,0.00313
MoLFI_results,HDFS_0.90,5e-05,0.00044,0.00019,0.00017,0.0046,0.00442
MoLFI_results,Linux_0.20,0.00013,0.00037,0.00019,0.00015,0.00364,0.00321
IPLoM_results,HPC_0.20,6e-05,0.00035,0.00018,0.00015,0.0032,0.00316
IPLoM_results,HDFS_0.60,5e-05,0.00042,0.0002,0.00016,0.00454,0.00518
IPLoM_results,HDFS_0.70,7e-05,0.00053,0.00026,0.00021,0.00449,0.00347
IPLoM_results,Zookeeper_0.10,0.00023,0.00035,0.0002,0.00017,0.00556,0.00359
IPLoM_results,Linux_0.40,6e-05,0.00044,0.00024,0.00018,0.00321,0.00329
IPLoM_results,Linux_0.80,5e-05,0.00033,0.00018,0.00017,0.00327,0.00315
IPLoM_results,HPC_0.30,6e-05,0.00033,0.00018,0.00015,0.00321,0.00304
IPLoM_results,Hadoop_0.20,0.00023,0.00036,0.00021,0.00016,0.00348,0.00341
IPLoM_results,Zookeeper_0.60,5e-05,0.00034,0.00019,0.00016,0.00341,0.00313
IPLoM_results,Zookeeper_0.30,4e-05,0.00048,0.00034,0.00018,0.0035,0.00323
IPLoM_results,Zookeeper_0.80,6e-05,0.00033,0.0002,0.00015,0.00322,0.0036
IPLoM_results,HDFS_0.30,4e-05,0.00035,0.00021,0.00016,0.00323,0.0032
IPLoM_results,Proxifier_0.30,5e-05,0.00037,0.00021,0.00016,0.00336,0.00329
IPLoM_results,Proxifier_0.40,5e-05,0.00031,0.00017,0.00019,0.00335,0.00313
IPLoM_results,HPC_0.50,5e-05,0.00031,0.00018,0.00017,0.00312,0.00313
IPLoM_results,HPC_0.60,9e-05,0.00035,0.00018,0.00016,0.00356,0.00321
IPLoM_results,Zookeeper_0.90,5e-05,0.00033,0.00018,0.00016,0.00319,0.00336
IPLoM_results,BGL_0.40,6e-05,0.00038,0.00018,0.00015,0.00325,0.00308
IPLoM_results,Zookeeper_0.40,5e-05,0.00032,0.00019,0.00015,0.00332,0.00302
IPLoM_results,HDFS_0.40,3e-05,0.00046,0.00024,0.00017,0.00343,0.00331
IPLoM_results,HDFS_0.10,9e-05,0.00035,0.00019,0.00017,0.00332,0.00334
IPLoM_results,Linux_0.70,5e-05,0.00031,0.00018,0.00017,0.00331,0.00311
IPLoM_results,Hadoop_0.90,9e-05,0.00034,0.00018,0.00016,0.00359,0.00329
IPLoM_results,BGL_0.50,5e-05,0.00031,0.00018,0.00015,0.00329,0.00358
IPLoM_results,Proxifier_0.10,8e-05,0.00035,0.00019,0.00016,0.00336,0.00331
IPLoM_results,Hadoop_0.80,9e-05,0.00033,0.00023,0.00015,0.00333,0.00328
IPLoM_results,Proxifier_0.90,4e-05,0.00034,0.00019,0.00015,0.00327,0.0034
IPLoM_results,Zookeeper_0.70,5e-05,0.00034,0.00019,0.00024,0.00329,0.0035
IPLoM_results,Zookeeper_0.50,5e-05,0.00037,0.00018,0.00016,0.00329,0.00324
IPLoM_results,Proxifier_0.80,4e-05,0.00034,0.00019,0.00017,0.00363,0.0034
IPLoM_results,HPC_0.80,5e-05,0.00035,0.0002,0.00017,0.0034,0.00342
IPLoM_results,BGL_0.10,0.0001,0.00031,0.00028,0.00018,0.00332,0.00331
IPLoM_results,Hadoop_0.40,0.00029,0.00034,0.00018,0.00015,0.00357,0.00356
IPLoM_results,HPC_0.90,5e-05,0.00035,0.00019,0.00015,0.00325,0.00321
IPLoM_results,Hadoop_0.50,0.0001,0.00036,0.00018,0.00015,0.0034,0.00332
IPLoM_results,Hadoop_0.10,0.0002,0.00034,0.00019,0.00016,0.00359,0.0035
IPLoM_results,Hadoop_0.30,0.0002,0.00034,0.0002,0.00016,0.00355,0.00357
IPLoM_results,Linux_0.90,5e-05,0.00033,0.00018,0.00015,0.00336,0.0035
IPLoM_results,Hadoop_0.70,0.0001,0.00034,0.00018,0.00015,0.00338,0.0033
IPLoM_results,Proxifier_0.50,4e-05,0.00036,0.0002,0.00019,0.00323,0.00325
IPLoM_results,Linux_0.10,8e-05,0.00033,0.00018,0.00017,0.00334,0.00342
IPLoM_results,BGL_0.20,7e-05,0.00032,0.00018,0.00016,0.00326,0.00311
IPLoM_results,Zookeeper_0.20,0.0002,0.00033,0.00018,0.00015,0.00337,0.00331
IPLoM_results,Proxifier_0.60,6e-05,0.00042,0.00028,0.00023,0.0033,0.00314
IPLoM_results,BGL_0.90,7e-05,0.00031,0.00018,0.00015,0.00327,0.00339
IPLoM_results,Linux_0.50,5e-05,0.00034,0.00018,0.00015,0.00338,0.00332
IPLoM_results,HPC_0.40,5e-05,0.00033,0.00018,0.00015,0.00356,0.00309
IPLoM_results,BGL_0.60,7e-05,0.00037,0.0002,0.00017,0.00495,0.00446
IPLoM_results,HPC_0.70,5e-05,0.00066,0.00034,0.00029,0.00399,0.00525
IPLoM_results,BGL_0.70,7e-05,0.00038,0.00022,0.00018,0.0037,0.00354
IPLoM_results,Linux_0.30,6e-05,0.00034,0.0002,0.00017,0.00355,0.00326
IPLoM_results,Proxifier_0.70,4e-05,0.00033,0.0002,0.00017,0.00344,0.00387
IPLoM_results,HPC_0.10,8e-05,0.00037,0.00021,0.00019,0.00364,0.00343
IPLoM_results,BGL_0.80,7e-05,0.00034,0.00021,0.00019,0.00353,0.00333
IPLoM_results,Linux_0.60,6e-05,0.00034,0.00022,0.00017,0.00482,0.00311
IPLoM_results,HDFS_0.80,4e-05,0.00036,0.0002,0.00017,0.00338,0.00326
IPLoM_results,Hadoop_0.60,9e-05,0.00037,0.0002,0.00018,0.00336,0.00316
IPLoM_results,BGL_0.30,5e-05,0.00034,0.0002,0.00017,0.00336,0.00311
IPLoM_results,HDFS_0.20,7e-05,0.00036,0.00021,0.00018,0.0032,0.00319
IPLoM_results,Proxifier_0.20,8e-05,0.00038,0.00021,0.00018,0.0033,0.00314
IPLoM_results,HDFS_0.50,5e-05,0.00035,0.00021,0.00019,0.00329,0.00339
IPLoM_results,HDFS_0.90,4e-05,0.0004,0.0002,0.00018,0.00322,0.00326
IPLoM_results,Linux_0.20,7e-05,0.00034,0.0002,0.00019,0.0033,0.00319
LKE_results,HPC_0.20,4e-05,0.00032,0.00019,0.0002,0.00342,0.00338
LKE_results,HDFS_0.60,3e-05,0.00035,0.00023,0.00017,0.0033,0.00316
LKE_results,HDFS_0.70,3e-05,0.00032,0.0002,0.0002,0.00328,0.00325
LKE_results,Zookeeper_0.10,0.00022,0.00033,0.0002,0.00019,0.00352,0.00345
LKE_results,Linux_0.40,3e-05,0.00033,0.00026,0.00017,0.00324,0.00312
LKE_results,Linux_0.80,3e-05,0.00034,0.00021,0.00018,0.0033,0.00316
LKE_results,HPC_0.30,3e-05,0.00032,0.00022,0.00017,0.00314,0.0031
LKE_results,Hadoop_0.20,6e-05,0.00039,0.00021,0.00018,0.00671,0.00654
LKE_results,Zookeeper_0.60,0.00042,0.00071,0.00037,0.00029,0.00442,0.00503
LKE_results,Zookeeper_0.30,0.00019,0.00062,0.00031,0.00027,0.00407,0.0051
LKE_results,Zookeeper_0.80,0.00047,0.00059,0.00029,0.00023,0.00513,0.00385
LKE_results,HDFS_0.30,3e-05,0.00056,0.00031,0.00024,0.00483,0.00513
LKE_results,Proxifier_0.30,4e-05,0.0004,0.00021,0.00018,0.00394,0.00366
LKE_results,Proxifier_0.40,6e-05,0.00041,0.0002,0.00017,0.00343,0.00339
LKE_results,HPC_0.50,4e-05,0.00033,0.00021,0.00016,0.0035,0.00324
LKE_results,HPC_0.60,0.0001,0.00033,0.00018,0.00016,0.00333,0.00333
LKE_results,Zookeeper_0.90,7e-05,0.00073,0.00041,0.00035,0.00574,0.0061
LKE_results,BGL_0.40,0.00012,0.00054,0.00031,0.00025,0.00476,0.0037
LKE_results,Zookeeper_0.40,0.00012,0.00059,0.00034,0.00029,0.0037,0.00389
LKE_results,HDFS_0.40,5e-05,0.00054,0.0003,0.00025,0.00353,0.00345
LKE_results,HDFS_0.10,8e-05,0.00032,0.00018,0.00015,0.00313,0.00357
LKE_results,Linux_0.70,3e-05,0.0004,0.00018,0.00015,0.00309,0.00307
LKE_results,Hadoop_0.90,7e-05,0.00036,0.00019,0.00017,0.00334,0.00311
LKE_results,BGL_0.50,6e-05,0.00031,0.00018,0.00015,0.00315,0.00334
LKE_results,Proxifier_0.10,3e-05,0.00031,0.0002,0.00018,0.0031,0.00306
LKE_results,Hadoop_0.80,7e-05,0.00033,0.00018,0.00015,0.00328,0.0032
